id,name,source_ids,source_match,original_category,current_category,geometry_preserved,id_preserved,status
osm-node-5517945321,ディスカウントドラッグコスモス,node/5517945321,saved_osm_element,drugstore,drugstore,True,True,no_rule_flag
osm-node-5518491536,ウェスタまるき 神田店,node/5518491536,saved_osm_element,supermarket,supermarket,True,True,no_rule_flag
osm-node-5712889433,クスリ岩崎チェーン,node/5712889433,saved_osm_element,pharmacy,pharmacy,True,True,pending
osm-node-5712889434,マックスバリュ,node/5712889434,saved_osm_element,supermarket,supermarket,True,True,no_rule_flag
osm-node-5836321485,Yuzuya,node/5836321485,saved_osm_element,convenience,convenience,True,True,no_rule_flag
osm-node-6011255090,クスリ岩崎チェーン,node/6011255090,saved_osm_element,drugstore,drugstore,True,True,no_rule_flag
osm-node-6011703186,ウォンツ徳佐店,node/6011703186,saved_osm_element,supermarket,supermarket,True,True,pending
osm-node-6014468885,セブンイレブン,node/6014468885,saved_osm_element,convenience,convenience,True,True,no_rule_flag
osm-node-6168362552,イオン,node/6168362552,saved_osm_element,mall,mall,True,True,no_rule_flag
osm-node-6194948420,セブン-イレブン 岩国旭町店,node/6194948420,saved_osm_element,convenience,convenience,True,True,no_rule_flag
osm-node-6194948464,セブン-イレブン 岩国旭町店,node/6194948464,saved_osm_element,convenience,convenience,True,True,no_rule_flag
osm-node-6207423482,ローソン,node/6207423482,saved_osm_element,convenience,convenience,True,True,no_rule_flag
osm-node-6448935187,ファミリーマート,node/6448935187,saved_osm_element,convenience,convenience,True,True,no_rule_flag
osm-node-6514743786,みすみ食料品店,node/6514743786,saved_osm_element,supermarket,supermarket,True,True,no_rule_flag
osm-node-6707893626,みさき,node/6707893626,saved_osm_element,pharmacy,pharmacy,True,True,no_rule_flag
osm-node-6707893627,黒川,node/6707893627,saved_osm_element,clinic,clinic,True,True,no_rule_flag
osm-node-6753275483,ローソン 山口大内矢田南四丁目店,node/6753275483,saved_osm_element,convenience,convenience,True,True,no_rule_flag
osm-node-6753292712,セブン-イレブン 山口大内矢田店,node/6753292712,saved_osm_element,convenience,convenience,True,True,no_rule_flag
osm-node-6824551794,Daily Yamazaki,node/6824551794,saved_osm_element,convenience,convenience,True,True,no_rule_flag
